claimant_tag,province_id,strength,dispute,basis,source_url
PSE,364,core,Gaza Strip,Palestine claimed the Gaza Strip as part of its state territory,https://www.un.org/unispal/history/
PSE,379,core,East Jerusalem,Palestine claimed East Jerusalem as part of its state territory,https://www.un.org/unispal/history/
PSE,380,core,West Bank,Palestine claimed the West Bank as part of its state territory,https://www.un.org/unispal/history/
PSE,1854,core,West Bank,Palestine claimed the West Bank as part of its state territory,https://www.un.org/unispal/history/
MUS,1101,core,Chagos Archipelago,Mauritius claimed the British-administered Chagos Archipelago,https://www.icj-cij.org/case/169
CMR,1163,core,Bakassi Peninsula,Cameroon claimed the Nigerian-administered Bakassi Peninsula,https://www.icj-cij.org/case/94
CBD,4828,core,Preah Vihear,Cambodia claimed the Thai-assigned province containing Preah Vihear,https://www.icj-cij.org/case/45
HUN,135,claim,Pre-Trianon Hungary,Sopron and Burgenland formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,154,claim,Pre-Trianon Hungary,Slovak territory formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
CZE,154,claim,Czechoslovak successor territory,Slovakia formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
HUN,1318,claim,Pre-Trianon Hungary,Slovak territory formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
CZE,1318,claim,Czechoslovak successor territory,Slovakia formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
HUN,4236,claim,Pre-Trianon Hungary,Slovak territory formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
CZE,4236,claim,Czechoslovak successor territory,Slovakia formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
HUN,156,claim,Pre-Trianon Hungary,Banat formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,157,claim,Pre-Trianon Hungary,Partium formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,158,claim,Pre-Trianon Hungary,Transylvania formed part of the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,1951,claim,Pre-Trianon Hungary,Transylvania formed part of the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,1952,claim,Pre-Trianon Hungary,Maramaros formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,4127,claim,Pre-Trianon Hungary,Transylvania formed part of the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,4128,claim,Pre-Trianon Hungary,Transylvania formed part of the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
HUN,131,claim,Pre-Trianon Hungary,Croatia-Slavonia belonged to the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/place/Croatia/History
YUG,131,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
HUN,1767,claim,Pre-Trianon Hungary,Croatia-Slavonia belonged to the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/place/Croatia/History
YUG,1767,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
HUN,4756,claim,Pre-Trianon Hungary,Croatia-Slavonia belonged to the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/place/Croatia/History
YUG,4756,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
HUN,1954,claim,Pre-Trianon Hungary,Vojvodina territory formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/place/Vojvodina
HUN,4126,claim,Pre-Trianon Hungary,Vojvodina territory formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/place/Vojvodina
HUN,4173,claim,Pre-Trianon Hungary,Syrmia belonged to the Lands of the Hungarian Crown before the Treaty of Trianon,https://www.britannica.com/place/Vojvodina
HUN,152,claim,Pre-Trianon Hungary,Prekmurje formed part of the Kingdom of Hungary before the Treaty of Trianon,https://www.britannica.com/event/Treaty-of-Trianon
YUG,152,claim,Yugoslav successor territory,Slovenia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
AUT,152,claim,Austrian half of Austria-Hungary,Most Slovenian territory belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
DEU,75,claim,German Empire,Alsace formed part of Germany from 1871 to 1918,https://www.britannica.com/place/Alsace-Lorraine
DEU,189,claim,German Empire,Lorraine territory formed part of Germany from 1871 to 1918,https://www.britannica.com/place/Alsace-Lorraine
DEU,43,claim,Former German eastern territories,Danzig formed part of Germany during the twentieth century,https://www.britannica.com/place/Gdansk
DEU,48,claim,Former German eastern territories,Pomeranian territory formed part of Germany before 1945,https://www.britannica.com/place/Pomerania
DEU,49,claim,Former German eastern territories,East Brandenburg formed part of Germany before 1945,https://www.britannica.com/place/Brandenburg-historical-margravate-Germany
DEU,264,claim,Former German eastern territories,Breslau and Lower Silesia formed part of Germany before 1945,https://www.britannica.com/place/Silesia
DEU,2966,claim,Former German eastern territories,Lower Silesia formed part of Germany before 1945,https://www.britannica.com/place/Silesia
DEU,2995,claim,Former German eastern territories,Pomeranian territory formed part of Germany before 1945,https://www.britannica.com/place/Pomerania
DEU,2997,claim,Former German eastern territories,Pomeranian territory formed part of Germany before 1945,https://www.britannica.com/place/Pomerania
DEU,4747,claim,Former German eastern territories,Pomeranian territory formed part of Germany before 1945,https://www.britannica.com/place/Pomerania
FIN,1776,claim,Finnish Karelia,Finland held parts of Karelia during the twentieth century before ceding them to the Soviet Union,https://www.britannica.com/place/Karelia
FIN,1961,claim,Finnish Karelia,Finland held Ladoga Karelia before ceding it to the Soviet Union,https://www.britannica.com/place/Karelia
ITA,130,claim,Italian eastern Adriatic territory,Istria belonged to Italy during the twentieth century,https://www.britannica.com/place/Istria
YUG,130,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
ITA,4752,claim,Italian eastern Adriatic territory,Fiume belonged to Italy during the twentieth century,https://www.britannica.com/place/Rijeka
YUG,4752,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
ITA,4753,claim,Italian eastern Adriatic territory,Zadar belonged to Italy during the twentieth century,https://www.britannica.com/place/Zadar
YUG,4753,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
BGR,3001,claim,Greater Bulgaria and wartime administration,Bulgaria held Macedonian territory during the twentieth century,https://www.britannica.com/place/North-Macedonia/History
YUG,3001,claim,Yugoslav successor territory,Macedonia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
BGR,4703,claim,Greater Bulgaria and wartime administration,Bulgaria held Macedonian territory during the twentieth century,https://www.britannica.com/place/North-Macedonia/History
YUG,4703,claim,Yugoslav successor territory,Macedonia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
BGR,147,claim,Western Thrace and Macedonia,Bulgaria held parts of Aegean Macedonia during the twentieth century,https://www.britannica.com/place/Bulgaria/World-War-II
TU1,147,claim,Late Ottoman territory,Salonika remained Ottoman territory at the beginning of the twentieth century,https://www.britannica.com/place/Thessaloniki-Greece
BGR,148,claim,Western Thrace and Macedonia,Bulgaria held parts of Aegean Macedonia during the twentieth century,https://www.britannica.com/place/Bulgaria/World-War-II
TU1,148,claim,Late Ottoman territory,Salonika remained Ottoman territory at the beginning of the twentieth century,https://www.britannica.com/place/Thessaloniki-Greece
BGR,4702,claim,Western Thrace and Macedonia,Bulgaria held parts of Greek Macedonia during the twentieth century,https://www.britannica.com/place/Bulgaria/World-War-II
TU1,4702,claim,Late Ottoman territory,Macedonian territory remained Ottoman at the beginning of the twentieth century,https://www.britannica.com/place/Macedonia-region-Europe
BGR,4705,claim,Western Thrace,Bulgaria held Western Thrace during the twentieth century,https://www.britannica.com/place/Bulgaria/World-War-II
TU1,4705,claim,Late Ottoman territory,Western Thrace remained Ottoman territory at the beginning of the twentieth century,https://www.britannica.com/place/Thrace
GRC,318,claim,Asia Minor campaign,Greece administered Smyrna during the Greco-Turkish War,https://www.britannica.com/event/Greco-Turkish-wars
POL,270,claim,Second Polish Republic,The Vilnius region belonged to interwar Poland,https://www.britannica.com/place/Vilnius
RUS,270,claim,Soviet successor territory,Lithuania was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
POL,261,claim,Second Polish Republic,Eastern Galicia belonged to interwar Poland,https://www.britannica.com/place/Galicia-historical-region-Eastern-Europe
RUS,261,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
POL,2961,claim,Second Polish Republic,Lwow belonged to interwar Poland,https://www.britannica.com/place/Lviv-Ukraine
RUS,2961,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
POL,4536,claim,Second Polish Republic,Western Belarusian territory belonged to interwar Poland,https://www.britannica.com/place/Belarus
RUS,4536,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
POL,4537,claim,Second Polish Republic,Western Belarusian territory belonged to interwar Poland,https://www.britannica.com/place/Belarus
RUS,4537,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
IRL,4121,core,Northern Ireland,Ireland maintained a constitutional territorial claim to Northern Ireland until 1999,https://www.britannica.com/event/Good-Friday-Agreement
ALB,1766,claim,Wartime Greater Albania,Kosovo was incorporated into Italian-controlled Albania during the Second World War,https://www.britannica.com/place/Kosovo/History
FRA,80,claim,Saar administration,France administered the Saar territory during the twentieth century,https://www.britannica.com/place/Saarland
TU1,149,core,Modern Turkish territory,Edirne is modern Turkish territory represented as Bulgarian-owned by the coarse vanilla map,https://www.britannica.com/place/Edirne-Turkey
RUS,272,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,275,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,276,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,292,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4115,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4242,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4246,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4544,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4545,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,770,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,771,claim,Soviet successor territory,Belarus belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1756,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1940,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1941,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1942,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1944,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1945,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1974,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2406,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2407,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2409,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2411,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2412,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,278,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,279,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,280,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,281,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,283,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,289,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,290,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,291,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2962,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4247,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4539,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4540,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4541,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4542,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4543,claim,Soviet successor territory,Ukraine belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1943,claim,Soviet successor territory,Moldova belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
ROU,1943,claim,Greater Romania,Bessarabia formed part of Romania between the world wars,https://www.britannica.com/place/Bessarabia
RUS,282,claim,Soviet successor territory,Moldova belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
ROU,282,claim,Greater Romania,Bessarabia formed part of Romania between the world wars,https://www.britannica.com/place/Bessarabia
RUS,1834,claim,Soviet successor territory,Estonia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,1842,claim,Soviet successor territory,Estonia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,274,claim,Soviet successor territory,Estonia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,35,claim,Soviet successor territory,Estonia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,36,claim,Soviet successor territory,Estonia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,273,claim,Soviet successor territory,Latvia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,37,claim,Soviet successor territory,Latvia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,38,claim,Soviet successor territory,Latvia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,39,claim,Soviet successor territory,Latvia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,4241,claim,Soviet successor territory,Latvia was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,1935,claim,Soviet successor territory,Lithuania was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,271,claim,Soviet successor territory,Lithuania was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,4534,claim,Soviet successor territory,Lithuania was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,4535,claim,Soviet successor territory,Lithuania was incorporated into the Soviet Union until 1991,https://www.britannica.com/place/Soviet-Union
RUS,2198,claim,Soviet successor territory,Georgia belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2203,claim,Soviet successor territory,Georgia belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,422,claim,Soviet successor territory,Georgia belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4301,claim,Soviet successor territory,Georgia belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,462,claim,Soviet successor territory,Georgia belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,423,claim,Soviet successor territory,Armenia belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2202,claim,Soviet successor territory,Azerbaijan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,421,claim,Soviet successor territory,Azerbaijan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,425,claim,Soviet successor territory,Azerbaijan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4299,claim,Soviet successor territory,Azerbaijan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4305,claim,Soviet successor territory,Azerbaijan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1969,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1970,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2118,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2351,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2352,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2353,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2354,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2355,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2356,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2357,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2358,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2359,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2360,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2361,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2365,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2366,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2367,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2368,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2369,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,439,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,443,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,456,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,459,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,461,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,465,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4684,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4685,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4686,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4687,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,469,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4692,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,470,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,471,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,472,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,474,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,476,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
