country,branch,formation_name,location,unit_category,quantity,quality_tier,source,verification_notes
COL,navy,Colombia Fleet,829,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
COS,army,Costa Rica Armed Forces,836,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CPV,army,Cape Verde Armed Forces,1096,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CRO,army,Croatia Armed Forces,131,regular_army,6,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CRO,navy,Croatia Fleet,137,surface_fleet,5,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
CUB,army,Cuba Armed Forces,484,regular_army,6,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CUB,navy,Cuba Fleet,484,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
CYP,army,Cyprus Armed Forces,321,regular_army,2,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CYP,navy,Cyprus Fleet,321,surface_fleet,2,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
CZE,army,Czech Republic Armed Forces,266,regular_army,7,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
DAN,army,Denmark Armed Forces,12,regular_army,6,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
DAN,navy,Denmark Fleet,12,surface_fleet,8,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
DGL,army,Maldives Armed Forces,1248,regular_army,2,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
DGL,navy,Maldives Fleet,1248,surface_fleet,2,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
DJI,army,Djibouti Armed Forces,1215,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
DMN,army,Dominica Armed Forces,498,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
DOM,army,Dominican Republic Armed Forces,490,regular_army,5,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
DRC,army,Democratic Republic of the Congo Armed Forces,3261,regular_army,5,1,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
DRC,navy,Democratic Republic of the Congo Fleet,4079,surface_fleet,2,1,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
ECU,army,Ecuador Armed Forces,820,regular_army,5,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ECU,navy,Ecuador Fleet,819,surface_fleet,3,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
EGY,army,Egypt Armed Forces,361,regular_army,12,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
EGY,navy,Egypt Fleet,358,surface_fleet,6,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
ELS,army,El Salvador Armed Forces,839,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
EQG,army,Equatorial Guinea Armed Forces,1097,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ERT,army,Eritrea Armed Forces,2766,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
EST,army,Estonia Armed Forces,36,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ETH,army,Ethiopia Armed Forces,1213,regular_army,8,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
FIN,army,Finland Armed Forces,28,regular_army,6,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
FIN,navy,Finland Fleet,28,surface_fleet,5,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
FR2,army,France Armed Forces,183,regular_army,19,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
FR2,navy,France Fleet,201,surface_fleet,15,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
FRM,army,Taiwan Armed Forces,2154,regular_army,7,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
FRM,navy,Taiwan Fleet,738,surface_fleet,4,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
GAB,army,Gabon Armed Forces,1165,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GBI,army,Guinea-Bissau Armed Forces,1114,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GBR,army,United Kingdom Armed Forces,236,regular_army,18,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GBR,navy,United Kingdom Fleet,236,surface_fleet,18,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
GEO,army,Georgia Armed Forces,423,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GER,army,Germany Armed Forces,50,regular_army,21,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GER,navy,Germany Fleet,44,surface_fleet,10,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
GHA,army,Ghana Armed Forces,1139,regular_army,4,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GMB,army,The Gambia Armed Forces,3006,regular_army,2,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GMB,navy,The Gambia Fleet,3006,surface_fleet,2,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
GRE,army,Greece Armed Forces,146,regular_army,7,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GRE,navy,Greece Fleet,146,surface_fleet,8,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
GRN,army,Grenada Armed Forces,1881,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GTM,army,Guatemala Armed Forces,2653,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GUI,army,Guinea Armed Forces,2241,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GYA,army,Guyana Armed Forces,744,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
GZI,army,Zimbabwe Armed Forces,2950,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
HAB,army,Austria Armed Forces,134,regular_army,8,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
HAT,army,Haiti Armed Forces,488,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
HON,army,Honduras Armed Forces,2640,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
HUN,army,Hungary Armed Forces,153,regular_army,6,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ICE,army,Iceland Armed Forces,370,regular_army,2,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ICE,navy,Iceland Fleet,370,surface_fleet,3,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
IDN,army,Indonesia Armed Forces,630,regular_army,17,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
IDN,navy,Indonesia Fleet,630,surface_fleet,16,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
INI,army,India Armed Forces,522,regular_army,23,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
INI,navy,India Fleet,561,surface_fleet,12,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
IRA,army,Iran Armed Forces,428,regular_army,14,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
IRA,navy,Iran Fleet,412,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
IRE,army,Ireland Armed Forces,373,regular_army,6,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
IRE,navy,Ireland Fleet,373,surface_fleet,6,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
IRQ,army,Iraq Armed Forces,410,regular_army,9,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
IRQ,navy,Iraq Fleet,408,surface_fleet,2,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
ISR,army,Israel Armed Forces,1854,regular_army,5,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ISR,navy,Israel Fleet,3244,surface_fleet,3,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
ITA,army,Italy Armed Forces,118,regular_army,17,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ITA,navy,Italy Fleet,118,surface_fleet,12,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
IVO,army,Ivory Coast Armed Forces,1125,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
JAI,army,Malta Armed Forces,126,regular_army,2,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
JAI,navy,Malta Fleet,126,surface_fleet,2,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
JAP,army,Japan Armed Forces,1020,regular_army,18,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
JAP,navy,Japan Fleet,1021,surface_fleet,18,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
JMC,army,Jamaica Armed Forces,487,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
JOR,army,Jordan Armed Forces,381,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
KEY,army,Kenya Armed Forces,1273,regular_army,5,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
KHA,army,Mongolia Armed Forces,4678,regular_army,6,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
KHM,army,Cambodia Armed Forces,2380,regular_army,5,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
KHM,navy,Cambodia Fleet,4826,surface_fleet,2,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
KIR,army,Kiribati Armed Forces,1991,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
KUW,army,Kuwait Armed Forces,2340,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
KYR,army,Kyrgyzstan Armed Forces,2126,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
KZK,army,Kazakhstan Armed Forces,476,regular_army,8,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LAO,army,Laos Armed Forces,614,regular_army,5,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LAP,army,Argentina Armed Forces,778,regular_army,11,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LAP,navy,Argentina Fleet,778,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
LBR,army,Liberia Armed Forces,2242,regular_army,2,1,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LBY,army,Libya Armed Forces,354,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LEB,army,Lebanon Armed Forces,378,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LES,army,Lesotho Armed Forces,3011,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LIT,army,Lithuania Armed Forces,272,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LTV,army,Latvia Armed Forces,38,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
LUX,army,Luxembourg Armed Forces,94,regular_army,3,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MAC,army,Macedonia Armed Forces,3001,regular_army,3,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MAL,army,Mali Armed Forces,1124,regular_army,7,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MDG,army,Madagascar Armed Forces,1792,regular_army,5,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MDG,navy,Madagascar Fleet,1193,surface_fleet,5,2,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
MDV,army,Moldova Armed Forces,2405,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MEX,army,Mexico Armed Forces,852,regular_army,16,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MEX,navy,Mexico Fleet,848,surface_fleet,11,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
MIC,army,Micronesia Armed Forces,1995,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MLA,army,Malaysia Armed Forces,2392,regular_army,11,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MLA,navy,Malaysia Fleet,2392,surface_fleet,7,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
MNM,army,Myanmar Armed Forces,4399,regular_army,9,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MNM,navy,Myanmar Fleet,586,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
MOR,army,Morocco Armed Forces,2469,regular_army,7,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MOR,navy,Morocco Fleet,2469,surface_fleet,6,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
MRS,army,Marshall Islands Armed Forces,1993,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MRT,army,Mauritania Armed Forces,1112,regular_army,3,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MTU,army,Mauritius Armed Forces,1102,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MWI,army,Malawi Armed Forces,4040,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MZM,army,Mozambique Armed Forces,1182,regular_army,5,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
MZM,navy,Mozambique Fleet,1182,surface_fleet,4,2,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
NAU,army,Nauru Armed Forces,1992,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NCR,army,Nicaragua Armed Forces,2660,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NED,army,Netherlands Armed Forces,97,regular_army,10,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NED,navy,Netherlands Fleet,4383,surface_fleet,7,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
NGR,army,Niger Armed Forces,1142,regular_army,5,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NIG,army,Nigeria Armed Forces,1153,regular_army,13,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NIG,navy,Nigeria Fleet,2290,surface_fleet,3,2,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
NMB,army,Namibia Armed Forces,1173,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NOK,army,North Korea Armed Forces,1845,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NOR,army,Norway Armed Forces,17,regular_army,7,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NOR,navy,Norway Fleet,17,surface_fleet,7,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
NPL,army,Nepal Armed Forces,557,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NZL,army,New Zealand Armed Forces,1107,regular_army,5,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
NZL,navy,New Zealand Fleet,1107,surface_fleet,9,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
OMA,army,Oman Armed Forces,400,regular_army,5,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
OMA,navy,Oman Fleet,400,surface_fleet,4,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
PAK,army,Pakistan Armed Forces,2077,regular_army,12,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
PAK,navy,Pakistan Fleet,504,surface_fleet,3,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
PEU,army,Peru Armed Forces,809,regular_army,8,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
PEU,navy,Peru Fleet,809,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
PHI,army,Philippines Armed Forces,656,regular_army,10,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
PHI,navy,Philippines Fleet,656,surface_fleet,8,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
PLS,army,Palestine Armed Forces,379,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
PLU,army,Palau Armed Forces,1996,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
PNG,army,Papua New Guinea Armed Forces,1237,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
PNM,army,Panama Armed Forces,835,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
POL,army,Poland Armed Forces,257,regular_army,12,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
POL,navy,Poland Fleet,1858,surface_fleet,4,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
POR,army,Portugal Armed Forces,227,regular_army,7,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
POR,navy,Portugal Fleet,227,surface_fleet,6,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
PRG,army,Paraguay Armed Forces,775,regular_army,3,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
QTR,army,Qatar Armed Forces,395,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
RMN,army,Romania Armed Forces,161,regular_army,8,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
RMN,navy,Romania Fleet,4706,surface_fleet,2,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
RSA,army,South Africa Armed Forces,4781,regular_army,10,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
RSA,navy,South Africa Fleet,1177,surface_fleet,4,2,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
RUS,army,Russia Armed Forces,295,regular_army,25,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
RUS,navy,Russia Fleet,33,surface_fleet,14,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
RWA,army,Rwanda Armed Forces,4067,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SAM,army,Samoa Armed Forces,1243,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SAU,army,Saudi Arabia Armed Forces,392,regular_army,12,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SAU,navy,Saudi Arabia Fleet,394,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
SEY,army,Seychelles Armed Forces,1100,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SGA,army,Singapore Armed Forces,4815,regular_army,4,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SGA,navy,Singapore Fleet,4815,surface_fleet,2,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
SGL,army,Senegal Armed Forces,1113,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SIA,army,Thailand Armed Forces,4831,regular_army,12,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SIA,navy,Thailand Fleet,4831,surface_fleet,5,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
SKN,army,St. Kitts and Nevis Armed Forces,495,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SKO,army,South Korea Armed Forces,735,regular_army,12,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SKO,navy,South Korea Fleet,735,surface_fleet,8,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
SLM,army,Solomon Islands Armed Forces,1238,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
SLU,army,St. Lucia Armed Forces,500,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
